Stock P/E,ROE,Debt to Equity,Market Cap,Current Price,Volatility,Return 3M,Dividend Yield,EVEBITDA,Symbol,Industry,ROCE,Cluster,Label,Good_Pick
81.4,8.6,0.29,17422.0,919.0,0.3729322855066218,-30.2,0.0,28.5,EMCURE,Healthcare,10.3,2,Short,True
28.7,15.9,0.01,8989.0,160.0,0.5038317595471232,-1.39,1.88,17.7,ENGINERSIN,Construction,20.9,5,Defensive Long,False
28.4,8.39,0.03,31390.0,369.0,0.3677587378434696,-0.89,0.54,15.6,EXIDEIND,Automobile and Auto Components,11.3,0,Neutral,
304.0,7.6,0.09,51438.0,180.0,0.3241202397362984,9.34,0.0,348.0,NYKAA,Consumer Services,6.01,4,Neutral,
11.9,14.7,9.31,46769.0,190.0,0.2711635000019853,1.45,0.63,15.7,FEDERALBNK,Financial Services,6.81,1,Neutral,
484.0,29.4,1.39,40419.0,625.0,0.5557662875787116,-28.0,0.16,154.0,FACT,Chemicals,16.9,4,Short,True
24.9,14.2,0.0,13391.0,876.0,0.4837800785550974,-11.6,0.91,17.7,FINCABLES,Capital Goods,18.7,2,Short,True
23.1,7.91,0.06,10671.0,172.0,0.3997444298337329,-17.0,1.45,14.8,FINPIPE,Capital Goods,10.4,5,Short,True
59.3,13.4,0.25,22699.0,321.0,0.4983211313380771,-11.3,1.25,38.1,FSL,Services,15.0,5,Short,True
20.5,17.5,1.2,21122.0,717.0,0.4178383960494577,10.1,0.0,13.1,FIVESTAR,Financial Services,15.8,0,Neutral,
243.0,1.37,0.06,49038.0,650.0,0.3302615134789363,-1.99,0.15,108.0,FORTIS,Healthcare,2.41,4,Neutral,
11.8,14.8,0.24,112901.0,172.0,0.3945963153581565,-0.26,3.79,7.5,GAIL,Oil Gas & Consumable Fuels,15.9,5,Defensive Long,True
9.73,13.8,0.0,69711.0,397.0,0.4566044794637111,-2.51,2.52,4.99,GICRE,Financial Services,16.8,5,Defensive Long,False
71.7,7.08,0.08,25942.0,281.0,0.4271089068116519,0.92,0.0,72.2,GODIGIT,Financial Services,6.62,5,Neutral,
16.2,22.3,0.0,12563.0,188.0,0.4496087907905445,3.33,0.53,9.47,GPIL,Capital Goods,30.8,5,Neutral,
31.4,16.5,0.55,14782.0,769.0,0.3637228335430423,8.76,1.3,19.3,GODREJAGRO,Fast Moving Consumer Goods,18.2,0,Defensive Long,True
33.9,15.1,0.23,10944.0,451.0,0.4298439198170689,-20.6,0.33,17.8,GRANULES,Healthcare,17.1,2,Short,True
20.8,2.04,0.02,8827.0,452.0,0.4154622937304542,-9.32,2.43,14.4,GRAPHITE,Capital Goods,2.65,5,Neutral,
5.79,22.1,0.18,12320.0,863.0,0.3904407223881717,-3.76,3.34,3.6,GESHIP,Services,19.9,2,Neutral,
24.0,15.0,0.02,29484.0,428.0,0.3192223273318036,-9.08,1.32,12.7,GUJGASLTD,Oil Gas & Consumable Fuels,20.5,0,Neutral,
13.2,10.4,0.0,8778.0,276.0,0.4458427229142936,-2.16,3.46,8.52,GMDCLTD,Metals & Mining,13.8,5,Defensive Long,False
14.1,5.63,0.01,7065.0,481.0,0.3533723483504712,-7.76,3.43,5.17,GNFC,Chemicals,7.71,0,Neutral,
17.2,18.8,0.03,6708.0,139.0,0.3622382536479714,-15.9,5.26,8.59,GPPL,Services,24.8,5,Neutral,
17.8,13.2,0.0,17730.0,314.0,0.3719979663655829,-6.99,1.59,11.4,GSPL,Oil Gas & Consumable Fuels,16.8,5,Neutral,
44.1,5.61,0.14,8742.0,453.0,0.5298219154179988,6.84,0.99,18.3,HEG,Capital Goods,7.3,5,Neutral,
45.5,26.3,0.04,13886.0,501.0,0.5955165209435299,-5.1,0.1,29.2,HBLENGINE,Capital Goods,34.4,5,Neutral,
85.0,11.4,0.12,147598.0,686.0,0.244809493275577,14.3,0.29,121.0,HDFCLIFE,Financial Services,6.58,0,Neutral,
28.6,9.09,0.24,10966.0,76.0,0.5333581223236084,-18.3,0.26,16.4,HFCL,Telecommunication,12.5,5,Short,True
51.9,21.3,0.78,8535.0,560.0,0.2840796302426576,-22.0,1.03,24.9,HAPPSTMNDS,Information Technology,21.8,2,Short,True
41.9,15.8,0.1,21564.0,437.0,0.4319739151293556,-20.1,0.11,25.3,HSCL,Chemicals,19.2,2,Short,True
21.6,6.06,0.23,134901.0,600.0,0.3173285384501413,6.48,0.58,12.8,HINDALCO,Metals & Mining,8.73,0,Neutral,
48.0,13.5,0.04,19307.0,200.0,0.4639583757649589,-8.98,0.46,25.8,HINDCOPPER,Metals & Mining,18.0,5,Neutral,
11.9,42.7,1.73,81325.0,382.0,0.3958410416494719,4.88,5.49,8.33,HINDPETRO,Oil Gas & Consumable Fuels,21.5,3,Neutral,
18.5,55.2,1.83,173682.0,411.0,0.5443589716017629,-1.99,7.06,10.9,HINDZINC,Metals & Mining,46.2,3,Neutral,
16.1,13.2,5.46,43203.0,216.0,0.5453462588599144,6.14,1.92,14.1,HUDCO,Financial Services,9.23,1,Neutral,
81.8,8.08,0.22,79919.0,553.0,0.2546678798312149,-13.1,0.11,65.5,ICICIPRULI,Financial Services,8.77,0,Short,True
12.0,11.8,5.45,85471.0,79.5,0.468295373913683,20.0,1.89,16.4,IDBI,Financial Services,6.21,1,Neutral,
22.6,10.2,7.52,43874.0,59.9,0.2889778697038273,0.99,0.0,17.3,IDFCFIRSTB,Financial Services,6.93,1,Neutral,
50.6,10.7,2.43,13744.0,324.0,0.4516729066562773,-17.5,1.24,13.8,IIFL,Financial Services,9.95,5,Short,True
45.8,29.5,0.12,9056.0,998.0,0.3221914467415906,-2.97,0.0,31.0,INOXINDIA,Capital Goods,39.2,0,Neutral,
29.8,8.17,0.93,27182.0,45.0,0.445480753091982,-9.65,0.67,18.9,IRB,Construction,9.52,5,Neutral,
17.5,15.3,0.0,14070.0,150.0,0.5549004402787275,-17.7,2.07,9.89,IRCON,Construction,20.9,5,Neutral,
26.5,29.2,0.0,527533.0,422.0,0.2000336076954696,-3.99,3.26,18.8,ITC,Fast Moving Consumer Goods,37.5,3,Neutral,
77.8,14.2,0.02,13712.0,571.0,0.4477506674067104,-5.31,0.0,50.4,INDGN,Healthcare,18.4,5,Neutral,
7.07,15.2,11.3,72170.0,536.0,0.3715261004792456,12.6,2.24,16.1,INDIANB,Financial Services,5.93,1,Neutral,
40.1,37.7,0.01,15964.0,179.0,0.3778508737093999,11.3,1.4,28.7,IEX,Financial Services,50.0,0,Defensive Long,True
